ticker,name,fetched
NVDA,Nvidia CORP,2026-08-11
AAPL,Apple INC,2026-08-11
MSFT,Microsoft,2026-08-11
AMZN,Amazon.com INC,2026-08-11
GOOGL,Alphabet Class A,2026-08-11
AVGO,Broadcom INC,2026-08-11
GOOG,Alphabet Class C,2026-08-11
META,Meta Platforms Class A,2026-08-11
MU,Micron Technology,2026-08-11
TSLA,Tesla INC,2026-08-11
LLY,Eli Lilly,2026-08-11
JPM,Jpmorgan Chase & CO,2026-08-11
BRK-B,Berkshire Hathaway INC Class B,2026-08-11
AMD,Advanced Micro Devices,2026-08-11
XOM,Exxonmobil Holdings CORP,2026-08-11
JNJ,Johnson & Johnson,2026-08-11
V,Visa Class A,2026-08-11
WMT,Walmart INC,2026-08-11
CSCO,Cisco Systems INC,2026-08-11
MA,Mastercard Class A,2026-08-11
ABBV,Abbvie,2026-08-11
INTC,Intel Corporation,2026-08-11
BAC,Bank OF America CORP,2026-08-11
COST,Costco Wholesale CORP,2026-08-11
AMAT,Applied Material INC,2026-08-11
LRCX,Lam Research,2026-08-11
PLTR,Palantir Technologies Class A,2026-08-11
CAT,Caterpillar INC,2026-08-11
GE,GE Aerospace,2026-08-11
CVX,Chevron CORP,2026-08-11
UNH,Unitedhealth Group INC,2026-08-11
HD,Home Depot,2026-08-11
PG,Procter & Gamble,2026-08-11
KO,Coca-cola,2026-08-11
MRK,Merck & CO INC,2026-08-11
NFLX,Netflix,2026-08-11
PANW,Palo Alto Networks,2026-08-11
RTX,Rtx CORP,2026-08-11
GS,Goldman Sachs Group INC,2026-08-11
PM,Philip Morris International INC,2026-08-11
GEV,GE Vernova INC,2026-08-11
WFC,Wells Fargo,2026-08-11
KLAC,Kla,2026-08-11
TXN,Texas Instrument INC,2026-08-11
ORCL,Oracle,2026-08-11
MS,Morgan Stanley,2026-08-11
C,Citigroup INC,2026-08-11
LIN,Linde PLC,2026-08-11
TMO,Thermo Fisher Scientific INC,2026-08-11
IBM,International Business Machines CO,2026-08-11
AMGN,Amgen INC,2026-08-11
CRWD,Crowdstrike Holdings Class A,2026-08-11
ANET,Arista Networks INC,2026-08-11
APH,Amphenol CORP Class A,2026-08-11
VZ,Verizon Communications INC,2026-08-11
MCD,Mcdonalds CORP,2026-08-11
ABT,Abbott Laboratories,2026-08-11
PEP,Pepsico INC,2026-08-11
ADI,Analog Devices,2026-08-11
MRVL,Marvell Technology,2026-08-11
SNDK,Sandisk,2026-08-11
DIS,Walt Disney,2026-08-11
AXP,American Express,2026-08-11
NEE,Nextera Energy,2026-08-11
ETN,Eaton PLC,2026-08-11
BA,Boeing,2026-08-11
SCHW,Charles Schwab,2026-08-11
BLK,Blackrock,2026-08-11
UNP,Union Pacific,2026-08-11
TJX,Tjx,2026-08-11
QCOM,Qualcomm,2026-08-11
GILD,Gilead Sciences INC,2026-08-11
T,At&t INC,2026-08-11
BKNG,Booking Holdings,2026-08-11
WELL,Welltower,2026-08-11
CRM,Salesforce,2026-08-11
UBER,Uber Technologies,2026-08-11
COP,Conocophillips,2026-08-11
DE,Deere,2026-08-11
PFE,Pfizer,2026-08-11
WDC,Western Digital CORP,2026-08-11
ISRG,Intuitive Surgical INC,2026-08-11
COF,Capital One Financial CORP,2026-08-11
VRTX,Vertex Pharmaceuticals,2026-08-11
PH,Parker-hannifin CORP,2026-08-11
DELL,Dell Technologies INC Class C,2026-08-11
PLD,Prologis REIT,2026-08-11
DHR,Danaher CORP,2026-08-11
NOW,Servicenow INC,2026-08-11
BMY,Bristol Myers Squibb,2026-08-11
GLW,Corning,2026-08-11
NEM,Newmont,2026-08-11
PGR,Progressive CORP,2026-08-11
LOW,Lowes Companies INC,2026-08-11
CB,Chubb,2026-08-11
SBUX,Starbucks CORP,2026-08-11
LMT,Lockheed Martin CORP,2026-08-11
SPGI,S&p Global INC,2026-08-11
SYK,Stryker,2026-08-11
CVS,Cvs Health,2026-08-11
MDT,Medtronic PLC,2026-08-11
SNOW,Snowflake,2026-08-11
HWM,Howmet Aerospace,2026-08-11
ACN,Accenture PLC Class A,2026-08-11
MCK,Mckesson CORP,2026-08-11
BX,Blackstone,2026-08-11
BNY,Bank OF New York Mellon CORP,2026-08-11
MO,Altria Group INC,2026-08-11
ADP,Automatic Data Processing INC,2026-08-11
VRT,Vertiv Holdings Class A,2026-08-11
TT,Trane Technologies PLC,2026-08-11
ADBE,Adobe INC,2026-08-11
SO,Southern,2026-08-11
