data_date,ticker,name,deviation,index
2026-09-14,UWMC,Uwm Holdings Class A,-59.37,R1K
2026-09-14,KRMN,Karman Holdings INC,-51.08,R1K
2026-09-14,OKLO,Oklo Class A,-42.99,R1K
2026-09-14,PL,Planet Labs Class A,-40.25,R1K
2026-09-14,WHR,Whirlpool,-39.58,SPX+R1K
2026-09-14,PRIM,Primoris Services,-39.47,R1K
2026-09-14,TTD,Trade Desk INC Class A,-38.65,R1K
2026-09-14,WING,Wingstop,-38.44,R1K
2026-09-14,QXO,Qxo INC,-36.31,R1K
2026-09-14,DKS,Dicks Sporting,-35.33,R1K
2026-09-14,FRMI,Fermi INC,-34.65,R1K
2026-09-14,QS,Quantumscape Class A,-33.69,R1K
2026-09-14,LULU,Lululemon,-33.62,SPX+R1K
2026-09-14,ESAB,Esab CORP,-33.17,R1K
2026-09-14,PNR,Pentair,-33.17,SPX+R1K
2026-09-14,KTOS,Kratos Defense And Security Soluti,-33.02,R1K
2026-09-14,PODD,Insulet,-32.88,SPX+R1K
2026-09-14,BLDR,Builders FirstSource,-32.45,SPX+R1K
2026-09-14,APTV,Aptiv PLC,-31.79,SPX+R1K
2026-09-14,BSX,Boston Scientific,-31.15,SPX+R1K
2026-09-14,ROL,Rollins INC,-31.11,SPX+R1K
2026-09-14,APP,Applovin Class A,-30.47,R1K
2026-09-14,ONON,ON Holding AG Class A,-29.97,R1K
2026-09-14,IONS,Ionis Pharmaceuticals,-29.44,R1K
2026-09-14,PLNT,Planet Fitness INC Class A,-29.3,R1K
2026-09-14,FN,Fabrinet,-28.65,R1K
2026-09-14,Z,Zillow Group Class C,-27.7,R1K
2026-09-14,FPS,Forgent Power Solutions Class A,-27.49,R1K
2026-09-14,XE,X-energy INC Class A,-27.3,R1K
2026-09-14,SITE,Siteone Landscape Supply INC,-27.22,R1K
2026-09-14,DY,Dycom Industries INC,-27.15,R1K
2026-09-14,ZTS,Zoetis,-27.01,SPX+R1K
2026-09-14,AVAV,Aerovironment INC,-26.68,R1K
2026-09-14,ASTS,Ast Spacemobile Class A,-26.45,R1K
2026-09-14,CSGP,CoStar Group,-26.39,SPX+NDX+R1K
2026-09-14,IPGP,Ipg Photonics CORP,-26.18,R1K
2026-09-14,ALB,Albemarle,-26.11,SPX+R1K
2026-09-14,OLN,Olin CORP,-26.07,R1K
2026-09-14,LII,Lennox International INC,-26.07,R1K
2026-09-14,ZG,Zillow Group Class A,-26.07,R1K
2026-09-14,COO,Cooper,-25.74,SPX+R1K
2026-09-14,NKE,Nike,-25.64,SPX+DJI+R1K
2026-09-14,NCLH,Norwegian Cruise Line Holdings,-25.56,SPX+R1K
2026-09-14,RMBS,Rambus,-25.48,R1K
2026-09-14,MTZ,Mastec INC,-25.46,R1K
2026-09-14,BURL,Burlington Stores,-25.38,R1K
2026-09-14,NRG,NRG Energy,-24.98,SPX+R1K
2026-09-14,FTAI,Ftai Aviation,-24.9,R1K
2026-09-14,AMTM,Amentum Holdings,-24.82,R1K
2026-09-14,CAR,Avis Budget Group,-24.7,DJI+R1K
2026-09-14,VFC,VF CORP,-24.46,R1K
2026-09-14,CAVA,Cava Group,-24.07,R1K
2026-09-14,CELH,Celsius Holdings,-24.02,R1K
2026-09-14,APLD,Applied Digital CORP,-23.9,R1K
2026-09-14,MPT,Medical Properties Trust REIT INC,-23.89,R1K
2026-09-14,NXT,Nextpower INC Class A,-23.75,R1K
2026-09-14,BIRK,Birkenstock Holding PLC,-23.26,R1K
2026-09-14,AAON,Aaon INC,-22.92,R1K
2026-09-14,BROS,Dutch Bros Class A,-22.73,R1K
2026-09-14,BWXT,Bwx Technologies INC,-22.52,R1K
2026-09-14,FLUT,Flutter Entertainment PLC,-22.2,R1K
